COD_TABELAPRECO;COD_PRODUTO;VALOR;QTD_MINIMA;VALOR1;QTD_MINIMA1;VALOR2;QTD_MINIMA2;VALOR3;QTD_MINIMA3;DESCONTO_MAXIMO;ACRESCIMO_MAXIMO
1;4;3,99;1;0;0;0;0;0;0;0;0
1;5;3,4;1;0;0;0;0;0;0;0;0
1;7;2,99;1;0;0;0;0;0;0;0;0
1;10;326,48;1;0;0;0;0;0;0;0;0
1;120;15;1;0;0;0;0;0;0;0;0
1;141;3,2;1;0;0;0;0;0;0;0;0
1;143;2,99;1;0;0;0;0;0;0;0;0
1;145;3,99;1;0;0;0;0;0;0;0;0
1;146;3,6;1;0;0;0;0;0;0;0;0
1;147;2,99;1;0;0;0;0;0;0;0;0
1;150;2,99;1;0;0;0;0;0;0;0;0
1;153;3,2;1;0;0;0;0;0;0;0;0
1;160;5,9;1;0;0;0;0;0;0;0;0
1;161;5,9;1;0;0;0;0;0;0;0;0
1;164;5,6;1;0;0;0;0;0;0;0;0
1;169;8,99;1;0;0;0;0;0;0;0;0
1;176;3,6;1;0;0;0;0;0;0;0;0
1;177;6,4;1;0;0;0;0;0;0;0;0
1;178;4,99;1;0;0;0;0;0;0;0;0
1;181;6,4;1;0;0;0;0;0;0;0;0
1;184;7,99;1;0;0;0;0;0;0;0;0
1;204;3,99;1;0;0;0;0;0;0;0;0
1;209;3,6;1;0;0;0;0;0;0;0;0
1;210;3,6;1;0;0;0;0;0;0;0;0
1;212;3,4;1;0;0;0;0;0;0;0;0
1;913;4,9;1;0;0;0;0;0;0;0;0
1;916;5,6;1;0;0;0;0;0;0;0;0
1;917;4,8;1;0;0;0;0;0;0;0;0
1;937;5,99;1;0;0;0;0;0;0;0;0
1;949;4,99;1;0;0;0;0;0;0;0;0
1;972;5,6;1;0;0;0;0;0;0;0;0
1;974;5,7;1;0;0;0;0;0;0;0;0
1;1000;9,4;1;0;0;0;0;0;0;0;0
1;1002;9,8;1;0;0;0;0;0;0;0;0
1;1003;8,99;1;0;0;0;0;0;0;0;0
1;1004;9,6;1;0;0;0;0;0;0;0;0
1;1005;9,9;1;0;0;0;0;0;0;0;0
1;1006;7,99;1;0;0;0;0;0;0;0;0
1;1007;7,99;1;0;0;0;0;0;0;0;0
1;1008;9,4;1;0;0;0;0;0;0;0;0
1;1009;9,4;1;0;0;0;0;0;0;0;0
1;1010;9,4;1;0;0;0;0;0;0;0;0
1;1011;9,9;1;0;0;0;0;0;0;0;0
1;1012;9,9;1;0;0;0;0;0;0;0;0
1;1014;10,9;1;0;0;0;0;0;0;0;0
1;1015;9,4;1;0;0;0;0;0;0;0;0
1;1016;9,9;1;0;0;0;0;0;0;0;0
1;1017;10,9;1;0;0;0;0;0;0;0;0
1;1018;9,4;1;0;0;0;0;0;0;0;0
1;1019;9,8;1;0;0;0;0;0;0;0;0
1;1020;9,9;1;0;0;0;0;0;0;0;0
1;1021;9,6;1;0;0;0;0;0;0;0;0
1;1022;8,99;1;0;0;0;0;0;0;0;0
1;1023;10,9;1;0;0;0;0;0;0;0;0
1;1026;6,99;1;0;0;0;0;0;0;0;0
1;1031;6,99;1;0;0;0;0;0;0;0;0
1;1032;7,99;1;0;0;0;0;0;0;0;0
1;1033;8,99;1;0;0;0;0;0;0;0;0
1;1034;9,99;1;0;0;0;0;0;0;0;0
1;1036;8,99;1;0;0;0;0;0;0;0;0
1;1037;10,99;1;0;0;0;0;0;0;0;0
1;1044;0,01;1;0;0;0;0;0;0;0;0
1;1045;0,01;1;0;0;0;0;0;0;0;0
1;1047;9,99;1;0;0;0;0;0;0;0;0
1;1066;9,9;1;0;0;0;0;0;0;0;0
1;1067;10,9;1;0;0;0;0;0;0;0;0
1;1068;9,9;1;0;0;0;0;0;0;0;0
1;1069;10,9;1;0;0;0;0;0;0;0;0
1;1070;10,9;1;0;0;0;0;0;0;0;0
1;1071;9,99;1;0;0;0;0;0;0;0;0
1;1072;9,99;1;0;0;0;0;0;0;0;0
1;1073;9,8;1;0;0;0;0;0;0;0;0
1;1074;9,89;1;0;0;0;0;0;0;0;0
1;1075;9,8;1;0;0;0;0;0;0;0;0
1;1076;10,9;1;0;0;0;0;0;0;0;0
1;1077;9,9;1;0;0;0;0;0;0;0;0
1;1078;9,6;1;0;0;0;0;0;0;0;0
1;1079;9,99;1;0;0;0;0;0;0;0;0
1;1080;9,6;1;0;0;0;0;0;0;0;0
1;1081;9,9;1;0;0;0;0;0;0;0;0
1;1083;11,99;1;0;0;0;0;0;0;0;0
1;1085;12,9;1;0;0;0;0;0;0;0;0
1;1087;12,8;1;0;0;0;0;0;0;0;0
1;1089;11,9;1;0;0;0;0;0;0;0;0
1;1090;12,8;1;0;0;0;0;0;0;0;0
1;1091;12,8;1;0;0;0;0;0;0;0;0
1;1092;12,9;1;0;0;0;0;0;0;0;0
1;1096;9,9;1;0;0;0;0;0;0;0;0
1;1097;10,9;1;0;0;0;0;0;0;0;0
